range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
22.5_27.5 AG-430-G14 AG-913-I14 AG-918-M20 AG-453-K22 AG-913-I22 AG-911-K15 AG-899-C17 AH-324-G08 AG-918-L21 AG-414-E02 27.7881 27.0727 0.311111 112 32.6667 112 80
22.5_27.5 AG-898-J17 AG-430-G14 AG-912-D10 AG-916-L09 AG-422-J20 AG-404-B06 AG-470-G21 AH-324-G08 AG-325-C18 AG-426-L19 28.13 28.4564 0.349206 100 36.6667 100 92
22.5_27.5 AG-430-G14 AG-916-O06 AG-461-B21 AG-918-N23 AG-426-L23 AG-430-F16 AG-899-M19 AG-430-N16 AH-324-J07 AG-414-E02 27.8995 26.9551 0.380952 90 40 90 62
22.5_27.5 AG-898-J17 AG-430-G14 AG-903-M21 AG-414-B15 AG-917-G09 AG-900-M23 AG-349-I05 AG-891-D10 AG-325-B10 AG-414-E02 28.2419 28.7726 0.292063 118 30.6667 118 92
22.5_27.5 AG-461-B21 AG-919-I13 AG-414-D07 AG-891-D10 AG-426-F15 AG-910-E21 AH-321-G15 AG-917-F16 AG-901-I21 AG-414-E02 27.8814 26.9891 0.311111 112 32.6667 112 80
22.5_27.5 AG-430-G14 AG-912-D10 AG-461-B21 AG-915-B23 AG-426-O05 AG-898-P13 AG-898-F23 AG-918-G22 AG-349-I05 AG-920-I06 27.9575 26.9974 0.292063 118 30.6667 118 74
22.5_27.5 AG-898-J17 AG-461-B21 AG-920-L07 AG-414-D07 AG-414-A03 AG-914-M14 AG-920-I06 AG-349-I05 AG-390-I15 AG-414-E02 27.9534 28.6825 0.339683 103 35.6667 103 85
22.5_27.5 AG-897-G20 AG-430-G14 AG-325-E20 AG-461-B21 AG-916-G03 AG-916-O22 AG-453-K22 AG-891-E06 AG-430-I18 AG-414-E02 27.9505 28.482 0.444444 70 46.6667 70 91
22.5_27.5 AG-897-G20 AG-920-L07 AG-916-K14 AG-414-B15 AG-896-M10 AG-913-I22 AG-907-E04 AG-897-G09 AG-359-O02 AG-457-B14 28.0108 28.2709 0.311111 112 32.6667 112 77
22.5_27.5 AG-898-J17 AG-899-M19 AG-907-E04 AH-324-G08 AG-430-N16 AH-321-N11 AG-414-E02 AG-461-B21 AG-912-D10 AG-914-J05 28.0229 28.5273 0.349206 100 36.6667 100 110
22.5_27.5 AG-897-G20 AG-461-B21 AG-895-E15 AG-359-B04 AG-914-A09 AH-324-B10 AH-324-G08 AG-365-C14 AG-917-A09 AG-414-E02 27.9667 28.5013 0.349206 100 36.6667 100 92
22.5_27.5 AG-918-B08 AG-912-D17 AG-426-L23 AG-918-P10 AG-912-I02 AG-911-K15 AG-426-G09 AG-461-M14 AG-896-M10 AG-414-E02 27.869 26.9126 0.311111 112 32.6667 112 80
22.5_27.5 AG-897-G20 AG-916-G03 AG-414-A03 AG-430-G14 AG-912-D10 AG-325-G21 AG-898-J19 AG-891-D10 AG-365-L04 AG-325-B10 27.9664 28.3584 0.349206 100 36.6667 100 75
22.5_27.5 AG-898-J17 AG-426-L23 AG-359-B04 AG-905-B19 AG-907-C09 AG-917-E05 AG-349-I05 AH-287-E09 AG-896-M10 AG-913-A07 27.9692 28.1718 0.311111 112 32.6667 112 98
22.5_27.5 AG-898-J17 AG-430-G14 AG-916-O06 AG-896-O16 AG-917-F16 AG-916-O13 AG-911-J19 AG-894-B06 AG-349-I05 AG-900-E18 28.1518 28.2917 0.311111 112 32.6667 112 85
22.5_27.5 AG-919-K20 AG-430-K10 AG-916-G03 AG-453-K22 AG-891-M18 AG-470-L20 AG-893-J08 AG-439-G13 AG-891-D10 AG-414-E02 27.505 26.706 0.244444 133 25.6667 133 59
22.5_27.5 AG-898-J17 AG-414-D07 AG-414-B15 AG-430-G14 AG-912-D10 AG-891-D10 AG-898-J19 AG-892-C08 AG-896-M10 AG-916-A21 28.0455 28.4536 0.349206 100 36.6667 100 75
22.5_27.5 AG-897-G20 AG-426-L23 AG-895-E15 AG-905-M05 AG-916-A21 AG-903-K07 AH-324-G08 AG-901-I06 AH-324-F03 AG-414-E02 27.9572 28.3909 0.380952 90 40 90 98
22.5_27.5 AG-897-G20 AG-430-G14 AG-325-E20 AG-916-G03 AG-914-A09 AG-461-M18 AG-911-N14 AG-325-P23 AH-324-G08 AG-918-L21 27.9174 28.0928 0.380952 90 40 90 85
22.5_27.5 AG-430-G14 AG-916-O06 AG-461-B21 AG-390-M15 AG-916-G03 AG-404-B06 AG-359-O11 AG-911-G06 AG-920-I23 AG-426-L19 27.7154 26.614 0.349206 100 36.6667 100 92
22.5_27.5 AG-898-J17 AG-426-L23 AG-439-O05 AG-430-G14 AG-916-B06 AG-916-G09 AG-390-I17 AG-898-P13 AG-916-O13 AG-461-M18 28.184 28.3764 0.311111 112 32.6667 112 77
23.0_28.0 AG-898-J17 AG-910-G11 AG-461-B21 AG-916-G03 AG-422-A21 AG-390-C19 AG-899-A06 AG-920-I23 AG-903-K07 AG-414-E02 27.9788 28.6352 0.380952 90 40 90 98
23.0_28.0 AG-461-B21 AG-919-K20 AG-919-F21 AG-414-D07 AG-422-B23 AG-917-F16 AG-426-L19 AG-426-G09 AG-909-F14 AG-414-E02 27.8701 27.1188 0.380952 90 40 90 62
23.0_28.0 AG-461-B21 AG-916-D16 AH-287-E19 AG-916-G03 AG-426-I15 AG-891-D10 AG-912-F16 AG-896-M10 AG-920-L19 AG-414-E02 27.8782 27.1758 0.380952 90 40 90 62
23.0_28.0 AG-898-J17 AG-426-L23 AG-414-A03 AG-461-B21 AG-916-O06 AG-426-G09 AG-910-J22 AG-920-I23 AG-426-E17 AG-414-E02 27.9081 28.6713 0.380952 90 40 90 120
23.0_28.0 AG-461-B21 AG-430-G14 AG-912-D17 AG-414-D07 AG-426-I15 AG-422-N14 AG-913-A04 AG-917-F16 AH-324-B10 AG-414-E02 27.8532 27.1925 0.380952 90 40 90 62
23.0_28.0 AG-461-B21 AG-430-G14 AG-918-M15 AG-426-L23 AG-439-O05 AG-891-D10 AG-426-I10 AG-905-M05 AG-917-P14 AG-414-E02 27.9261 27.0972 0.380952 90 40 90 80
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-D16 AG-461-E04 AG-422-A21 AG-913-A07 AG-905-M05 AH-324-G08 AG-910-M23 AG-414-E02 28.043 28.6225 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-911-E05 AG-414-D07 AG-426-I15 AG-896-M10 AG-916-O13 AG-426-G09 AG-918-G15 AG-414-E02 28.0834 28.6478 0.380952 90 40 90 98
23.0_28.0 AG-897-G20 AG-461-B21 AG-325-E20 AH-287-E19 AG-414-A03 AG-914-M14 AG-893-L13 AG-390-C19 AG-422-N15 AG-414-E02 27.9172 28.5806 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-912-D10 AG-909-N22 AG-426-L23 AG-430-A02 AG-891-D10 AG-390-D15 AG-898-P13 AG-914-A09 27.8398 28.267 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-916-O06 AG-914-J05 AG-916-G03 AH-324-G08 AG-426-F11 AG-898-P13 AG-914-A09 AG-414-E02 27.9645 28.5737 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-349-C11 AG-414-D07 AG-422-J20 AG-914-M14 AG-893-L13 AG-390-C19 AG-404-P20 AG-414-E02 27.9172 28.5131 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-918-B08 AG-905-B19 AG-916-G03 AG-422-B23 AG-891-D10 AG-414-O09 AG-898-P13 AG-426-L19 28.0755 28.6009 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-912-D10 AG-918-N23 AG-916-G03 AG-435-M21 AG-920-I23 AG-359-N17 AG-913-A07 AG-414-E02 27.9861 28.6838 0.466667 63 49 63 122
23.0_28.0 AG-898-J17 AG-461-B21 AG-919-K20 AG-414-D07 AG-414-P09 AG-390-C19 AG-903-E15 AG-917-F16 AG-891-E06 AG-414-E02 27.8701 28.5648 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-O06 AG-349-F22 AG-414-D07 AG-414-B15 AG-891-D10 AG-910-J22 AG-453-K22 AG-414-E02 27.9642 28.5844 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-919-K20 AG-349-D08 AG-343-E17 AG-422-N14 AG-911-G03 AG-404-J20 AG-903-K07 AG-414-E02 27.9071 28.5603 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-912-D10 AG-414-D07 AG-426-O05 AH-324-G08 AG-414-O11 AG-893-L13 AG-916-A21 AG-414-E02 27.9861 28.505 0.380952 90 40 90 98
23.0_28.0 AG-897-G20 AG-461-B21 AG-916-D16 AG-891-O15 AG-916-G03 AG-439-O05 AG-349-D19 AG-905-M05 AG-891-D10 AG-359-O02 28.0092 28.4799 0.380952 90 40 90 98
23.0_28.0 AG-897-G20 AG-461-B21 AG-390-M15 AG-916-G03 AG-343-E17 AG-891-D10 AG-919-F03 AG-905-M05 AG-912-F23 AG-414-E02 27.9403 28.5839 0.380952 90 40 90 98
23.0_28.0 AG-897-G20 AG-461-B21 AG-919-K20 AG-916-K14 AG-916-G03 AG-359-B04 AG-404-J20 AG-390-C19 AG-325-B10 AG-414-E02 27.9788 28.5484 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-919-K20 AH-326-G20 AG-414-D07 AG-422-N14 AG-349-I05 AG-920-I23 AG-903-K07 AG-414-E02 27.9861 28.5113 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-919-K20 AG-909-N22 AG-414-D07 AG-430-A02 AG-905-M05 AG-920-L19 AG-390-C19 AG-414-E02 27.9113 28.4331 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-920-L07 AG-349-N13 AG-414-D07 AG-430-A02 AG-404-J20 AG-426-G09 AG-426-E17 AG-414-E02 28.0478 28.6881 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-916-D16 AG-414-D07 AG-430-F03 AG-426-G09 AG-896-L20 AG-920-I23 AG-426-L19 AG-414-E02 27.9425 28.6165 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-K14 AG-426-L23 AG-414-A03 AG-390-C19 AG-911-G03 AG-905-M05 AG-901-I21 AG-414-E02 27.9788 28.6515 0.380952 90 40 90 120
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-O06 AG-910-C16 AG-916-G03 AG-414-B15 AG-896-M10 AG-891-E06 AG-390-C19 AG-414-E02 27.9127 28.5388 0.466667 63 49 63 122
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-O06 AG-916-K14 AG-426-L23 AG-422-A21 AG-404-J20 AH-324-N03 AG-349-D19 AG-414-E02 28.1029 28.5841 0.466667 63 49 63 140
23.0_28.0 AG-461-B21 AG-916-D16 AG-917-F18 AG-426-L23 AG-422-J20 AG-426-M22 AG-917-B07 AH-324-G08 AG-414-K15 AG-414-E02 27.8441 27.1107 0.380952 90 40 90 80
23.0_28.0 AG-898-J17 AG-461-B21 AG-920-L07 AG-895-E15 AG-916-G03 AG-414-A03 AG-430-F16 AG-893-L13 AG-422-N14 AG-447-O23 27.8198 28.3468 0.380952 90 40 90 98
23.0_28.0 AG-897-G20 AG-461-B21 AG-918-B08 AG-390-M15 AG-426-L23 AG-893-L13 AG-917-B07 AH-324-G08 AG-430-N16 AG-414-E02 27.8779 28.3355 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-920-L07 AG-915-B23 AG-916-G03 AG-414-A03 AG-390-C19 AG-918-K09 AG-920-I23 AG-426-E17 27.9584 28.4541 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-916-D16 AG-349-F22 AG-414-D07 AG-426-L15 AG-920-I06 AG-426-M22 AG-909-I04 AG-414-E02 27.9987 28.6003 0.466667 63 49 63 115
23.0_28.0 AG-461-B21 AG-916-D16 AG-917-K20 AG-916-G03 AG-430-F03 AH-324-G08 AG-325-E08 AG-918-E06 AG-899-M19 AG-414-E02 27.7999 27.0635 0.380952 90 40 90 62
23.0_28.0 AG-897-G20 AG-461-B21 AG-916-D16 AG-333-P08 AG-414-D07 AG-916-O22 AG-891-D10 AG-337-G21 AG-893-L13 AG-917-B07 27.8952 28.2526 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-426-L23 AG-426-I15 AG-461-B21 AG-430-G14 AG-891-D10 AG-447-O23 AG-899-M19 AG-920-L19 AG-414-E02 28.059 28.5966 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-912-D10 AG-909-N22 AG-422-B23 AG-917-F16 AG-461-M18 AG-891-D10 AG-907-C09 AG-414-E02 27.9997 28.6266 0.380952 90 40 90 120
23.0_28.0 AG-898-J17 AG-461-B21 AG-920-L07 AG-916-G03 AG-414-B15 AG-426-G09 AG-917-K06 AG-905-M05 AG-920-L19 AG-414-E02 27.9484 28.6176 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-912-D10 AG-911-E05 AG-916-G03 AG-426-L15 AH-324-G08 AG-892-C18 AG-899-M19 AG-414-E02 27.9499 28.6052 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-912-D10 AG-390-M15 AG-414-D07 AG-404-J20 AG-422-N14 AG-913-K15 AG-912-F23 AG-414-E02 27.9502 28.4379 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-461-B21 AG-916-D16 AG-916-L09 AG-916-G03 AG-426-I15 AG-414-E02 AG-891-D10 AG-422-E09 AG-404-J20 27.9861 28.5385 0.466667 63 49 63 122
23.0_28.0 AG-898-J17 AG-461-B21 AG-912-D17 AG-414-D07 AG-426-O05 AG-891-D10 AG-915-J15 AG-898-P13 AG-916-A21 AG-414-E02 28.0662 28.6898 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-325-E20 AG-313-A04 AG-916-G03 AG-430-A02 AG-903-K07 AG-899-M19 AG-390-C19 AG-414-E02 27.9965 28.698 0.466667 63 49 63 122
23.0_28.0 AG-461-B21 AG-325-E20 AG-453-G04 AG-414-D07 AG-439-O05 AG-891-D10 AG-911-B23 AG-905-M05 AG-426-L19 AG-414-E02 27.8358 27.1272 0.380952 90 40 90 62
23.0_28.0 AG-897-G20 AG-916-O06 AG-349-F22 AG-916-G03 AG-422-A21 AH-324-G08 AH-287-E08 AG-898-P13 AG-325-B10 AG-414-E02 27.9645 28.7143 0.380952 90 40 90 98
23.0_28.0 AG-898-J17 AG-461-B21 AG-912-D10 AG-919-F21 AG-414-D07 AG-430-A02 AG-920-I23 AH-287-E08 AG-430-F16 AG-414-E02 28.0528 28.6997 0.466667 63 49 63 115
23.0_28.0 AG-898-J17 AG-461-B21 AG-430-G14 AG-447-P19 AG-916-G03 AG-918-M20 AG-903-K07 AG-896-M10 AG-426-G09 AG-414-E02 27.9965 28.6229 0.466667 63 49 63 122
23.0_28.0 AG-897-G20 AG-461-B21 AG-918-B08 AG-903-M21 AG-918-M20 AG-899-M19 AG-901-I21 AG-426-G09 AG-914-L03 AG-414-E02 28.0243 28.6112 0.380952 90 40 90 120
23.0_28.0 AG-897-G20 AG-426-L23 AG-422-A21 AG-461-B21 AG-325-E20 AG-905-M05 AG-426-L19 AG-390-C19 AG-439-G19 AG-414-E02 27.9788 28.5908 0.380952 90 40 90 120
23.0_28.0 AG-898-J17 AG-461-B21 AG-919-K20 AG-349-N13 AG-916-G03 AG-343-E17 AG-422-N14 AG-461-E05 AG-903-K07 AG-414-E02 27.9186 28.6515 0.466667 63 49 63 122
23.5_28.5 AG-390-C19 AG-426-B11 AG-907-E04 AG-414-E02 AG-422-B23 AG-910-M21 AG-900-K14 AG-909-G09 AG-900-M14 AG-464-G03 29.7736 29.1205 0.273016 124 28.6667 124 86
23.5_28.5 AG-404-J20 AH-324-G08 AG-920-L19 AG-414-E02 AG-916-D16 AG-913-N02 AG-404-N21 AG-464-G03 AG-913-M07 AG-903-I23 29.7494 29.2201 0.387302 88 40.6667 88 86
23.5_28.5 AG-414-E02 AG-899-M19 AG-909-N22 AG-910-M21 AG-900-K14 AG-914-B16 AG-461-P14 AG-319-D07 AG-911-E22 AG-897-G20 30.1688 30.4931 0.444444 70 46.6667 70 115
23.5_28.5 AG-325-E20 AG-390-M15 AG-414-E02 AH-287-F15 AG-914-B16 AG-333-C14 AG-464-G03 AG-447-A02 AG-891-P20 AG-891-J18 29.9303 29.3773 0.273016 124 28.6667 124 43
23.5_28.5 AG-430-G14 AG-422-F15 AG-435-M21 AG-390-C19 AG-892-C18 AG-907-B09 AG-894-A11 AG-892-M06 AG-464-G03 AG-891-K21 29.937 29.2556 0.409524 81 43 81 129
23.5_28.5 AH-287-F15 AG-901-G03 AG-893-B07 AG-461-P14 AG-422-B23 AG-325-E20 AG-390-C19 AG-426-M22 AG-894-O04 AG-319-D07 30.0405 29.4052 0.253968 130 26.6667 130 52
23.5_28.5 AG-414-D07 AG-414-B15 AG-916-D16 AG-422-N14 AG-900-G16 AG-920-I06 AG-907-B09 AG-893-B07 AG-447-L18 AG-422-E02 29.4337 28.8799 0.387302 88 40.6667 88 98
23.5_28.5 AG-343-E17 AG-920-I07 AG-917-F16 AG-920-L19 AG-422-N14 AG-461-C04 AG-910-M21 AH-287-F15 AG-404-N21 AG-426-C22 29.3465 28.8514 0.311111 112 32.6667 112 98
23.5_28.5 AG-918-B08 AG-917-N08 AG-896-M10 AG-916-A21 AG-917-D14 AH-287-F15 AG-892-M06 AG-464-G03 AG-426-C22 AG-899-C14 29.9503 29.3585 0.311111 112 32.6667 112 64
23.5_28.5 AG-325-E20 AG-918-M15 AG-426-L15 AG-426-G09 AG-907-B09 AG-900-M14 AH-287-F15 AG-426-I04 AG-457-A08 AG-898-J17 30.1604 30.2792 0.492063 55 51.6667 55 155
23.5_28.5 AG-426-G09 AG-891-J07 AG-899-M19 AG-414-E02 AG-430-F03 AH-287-F15 AG-893-M03 AG-893-B07 AG-426-C22 AG-897-G20 29.9614 29.8868 0.295238 117 31 117 86
23.5_28.5 AG-426-G09 AG-917-C08 AG-905-M05 AG-414-E02 AG-920-L07 AG-911-G13 AG-900-M14 AG-464-G03 AG-426-I04 AG-457-A08 29.5709 28.8941 0.295238 117 31 117 86
23.5_28.5 AG-457-A08 AG-422-E02 AG-917-N20 AG-916-D16 AG-916-O22 AG-422-N14 AG-896-L20 AG-913-A07 AG-414-E02 AG-910-M21 29.5803 28.9941 0.387302 88 40.6667 88 86
23.5_28.5 AG-461-P14 AH-287-F15 AG-390-C19 AG-913-I22 AG-414-E02 AG-313-A04 AG-464-G03 AG-426-I04 AG-899-M17 AG-916-N15 29.8283 29.3929 0.311111 112 32.6667 112 52
23.5_28.5 AH-287-F15 AG-893-M03 AG-895-F20 AG-900-M14 AG-920-L07 AG-349-N13 AG-891-D10 AG-359-I09 AG-426-I04 AG-319-D07 29.82 29.0998 0.187302 151 19.6667 151 52
23.5_28.5 AH-287-F15 AG-896-A02 AG-900-M14 AG-426-G09 AG-904-L02 AG-313-A04 AG-464-G03 AG-426-I04 AG-447-L18 AG-897-G20 30.0212 30.1407 0.203175 146 21.3333 146 57
23.5_28.5 AG-920-L07 AG-426-I15 AH-324-G08 AG-920-K11 AG-903-K07 AG-414-E02 AG-910-M21 AG-337-E07 AG-896-A02 AG-911-I02 29.5638 28.9423 0.387302 88 40.6667 88 122
23.5_28.5 AG-891-D10 AG-915-G14 AG-461-M18 AG-422-B23 AG-907-B09 AG-893-B07 AG-919-N17 AG-426-I04 AG-916-I19 AG-895-J15 29.7075 29.3138 0.311111 112 32.6667 112 64
23.5_28.5 AG-426-M22 AG-422-C20 AG-414-E02 AG-390-M15 AG-900-M14 AG-464-G03 AG-426-I04 AG-893-I03 AG-895-J15 AG-898-J17 29.9758 30.2575 0.387302 88 40.6667 88 73
23.5_28.5 AG-918-B08 AG-891-D10 AG-907-B09 AH-287-F15 AG-894-I07 AG-894-A11 AG-464-G03 AG-426-I04 AG-893-I03 AG-897-G20 30.008 30.2271 0.295238 117 31 117 86
23.5_28.5 AG-349-D19 AG-893-O16 AG-359-B04 AG-907-B09 AG-891-J04 AG-900-K14 AG-464-G03 AG-426-I04 AG-447-L18 AG-325-F23 29.8368 29.2421 0.203175 146 21.3333 146 52
23.5_28.5 AG-426-C22 AG-893-E23 AG-422-B23 AG-325-E20 AG-920-I23 AG-911-P04 AG-349-D19 AG-414-E02 AG-913-N02 AG-898-J17 29.9234 30.0429 0.466667 63 49 63 115
23.5_28.5 AH-324-G08 AG-359-J06 AG-404-J20 AG-891-M18 AG-414-E02 AG-439-O05 AH-287-F15 AG-333-C14 AG-426-I04 AG-916-N15 29.7154 28.9274 0.311111 112 32.6667 112 77
23.5_28.5 AG-430-G14 AG-414-P09 AG-898-P13 AG-919-F03 AG-910-M21 AG-461-P14 AH-287-F15 AG-457-A08 AG-913-M07 AG-898-J17 30.2302 30.2027 0.409524 81 43 81 129
23.5_28.5 AG-919-K20 AG-430-K10 AG-426-I15 AG-898-P13 AG-426-G09 AG-422-B15 AG-464-G03 AG-426-I04 AG-894-N13 AG-898-J17 29.8871 29.8791 0.387302 88 40.6667 88 115
23.5_28.5 AG-435-M21 AG-905-B19 AG-916-O13 AG-426-G09 AG-414-E02 AG-895-F07 AG-426-I04 AG-912-F03 AG-894-O02 AG-897-G20 29.7256 30.1104 0.492063 55 51.6667 55 115
23.5_28.5 AG-900-M14 AG-337-G06 AG-404-J20 AG-916-A16 AG-916-O22 AG-464-G03 AG-426-I04 AG-319-D07 AG-422-J16 AG-898-J17 29.903 30.277 0.203175 146 21.3333 146 52
23.5_28.5 AG-916-D16 AG-422-A21 AG-404-J20 AG-891-M18 AH-287-F15 AG-337-E07 AG-464-G03 AG-894-N13 AG-917-M17 AG-898-J17 30.1644 30.4634 0.409524 81 43 81 91
23.5_28.5 AG-435-M21 AG-349-D08 AG-422-N14 AG-903-L07 AG-325-B10 AG-907-B09 AG-900-M14 AG-895-F20 AG-464-G03 AG-897-G20 29.9036 30.1254 0.387302 88 40.6667 88 122
23.5_28.5 AG-337-G06 AG-919-N17 AG-900-M14 AG-439-O05 AG-903-M21 AG-891-D10 AG-907-E04 AG-464-G03 AG-447-L18 AG-893-E21 29.8617 29.5042 0.288889 119 30.3333 119 57
23.5_28.5 AH-287-F15 AG-337-E07 AG-900-M14 AG-891-D10 AG-359-E10 AG-914-M14 AG-414-E02 AG-916-O06 AG-426-I04 AG-912-J07 29.7097 29.2104 0.273016 124 28.6667 124 64
23.5_28.5 AH-287-F15 AG-337-G06 AG-900-M14 AG-325-E20 AG-426-I15 AG-404-J20 AG-464-G03 AG-426-I04 AG-447-A02 AG-891-G06 30.0727 29.6252 0.273016 124 28.6667 124 43
23.5_28.5 AH-287-F15 AG-893-B07 AG-900-M14 AG-414-E02 AG-390-C19 AG-325-E08 AG-430-G14 AG-464-G03 AG-426-I04 AG-897-G20 29.9682 30.1381 0.288889 119 30.3333 119 91
23.5_28.5 AG-325-E20 AG-918-N23 AG-404-J20 AG-422-N14 AG-915-G14 AG-912-F23 AG-913-N02 AG-422-B15 AG-464-G03 AG-426-I04 29.5141 28.7783 0.311111 112 32.6667 112 98
23.5_28.5 AG-325-B10 AG-426-M22 AG-911-P04 AG-414-E02 AG-447-P19 AH-287-F15 AG-422-B15 AG-426-I04 AG-912-F03 AG-897-G20 29.945 29.8955 0.311111 112 32.6667 112 91
23.5_28.5 AG-333-C14 AG-895-F07 AG-461-P14 AG-390-C19 AG-422-D23 AG-917-F16 AG-325-E20 AG-464-G03 AG-319-D07 AG-918-N11 29.7818 29.295 0.203175 146 21.3333 146 34
23.5_28.5 AG-414-E02 AG-435-M21 AG-907-B09 AG-909-G09 AG-464-G03 AG-426-I04 AG-447-A02 AG-891-K21 AG-915-C07 AG-898-J17 30.0561 30.2821 0.339683 103 35.6667 103 55
23.5_28.5 AH-287-F15 AG-892-M06 AG-333-C14 AG-900-M14 AG-903-K07 AG-359-I09 AG-916-O22 AG-457-A08 AG-892-I02 AG-898-J17 30.2633 30.3367 0.187302 151 19.6667 151 59
23.5_28.5 AH-287-F15 AG-917-N15 AG-894-A11 AG-900-M14 AG-905-M05 AG-916-G09 AG-414-E02 AG-414-A03 AG-426-I04 AG-897-G20 30.0152 29.8752 0.253968 130 26.6667 130 80
23.5_28.5 AG-414-E02 AG-891-O15 AG-913-N02 AG-461-P14 AG-893-B07 AG-464-G03 AG-426-I04 AG-447-L18 AG-891-P06 AG-894-C10 29.9682 29.5965 0.269841 125 28.3333 125 37
23.5_28.5 AG-426-G09 AG-893-J08 AG-918-E06 AG-414-E02 AG-920-L07 AG-907-B09 AH-287-F15 AG-404-N21 AG-337-G06 AG-904-K16 29.7817 29.0931 0.295238 117 31 117 86
23.5_28.5 AG-916-O06 AG-905-B19 AG-426-L15 AG-917-F16 AG-905-M18 AG-414-E02 AG-891-J04 AG-916-M14 AG-913-M07 AG-897-G20 30.1966 30.0098 0.577778 28 60.6667 28 155
23.5_28.5 AH-287-F15 AG-911-E02 AG-337-E07 AG-900-M14 AG-325-E20 AG-464-G03 AG-426-I04 AG-894-N13 AG-916-L20 AG-897-G20 30.1383 30.2439 0.180952 153 19 153 16
23.5_28.5 AG-414-E02 AG-426-G09 AG-893-N07 AG-447-P19 AH-287-F15 AG-909-G09 AG-333-C14 AG-464-G03 AG-426-C22 AG-893-A21 29.8601 29.2039 0.203175 146 21.3333 146 57
23.5_28.5 AG-893-B07 AG-917-N15 AG-461-P14 AG-920-L07 AG-426-O05 AG-414-E02 AG-891-D10 AG-426-C22 AG-915-C06 AG-897-G20 30.0364 30.1596 0.365079 95 38.3333 95 115
23.5_28.5 AG-896-M10 AG-390-C19 AG-913-N02 AG-900-M14 AG-337-G06 AG-426-I04 AG-447-A02 AG-337-D08 AG-899-C14 AG-897-G20 29.9656 30.4042 0.288889 119 30.3333 119 52
23.5_28.5 AH-324-G08 AG-453-G21 AG-920-I23 AG-914-A09 AG-414-E02 AG-313-A04 AG-461-P14 AG-464-G03 AG-404-B13 AG-915-I10 29.8067 28.9797 0.311111 112 32.6667 112 68
23.5_28.5 AG-898-P13 AG-422-D23 AG-914-M14 AG-912-D10 AG-913-N02 AG-461-P14 AH-287-F15 AG-464-G03 AG-447-A02 AG-898-J17 29.8316 30.1164 0.311111 112 32.6667 112 91
23.5_28.5 AG-453-G04 AG-918-B08 AG-439-O05 AG-914-M14 AG-907-M07 AH-287-F15 AG-919-N17 AG-895-F20 AG-464-G03 AG-426-C22 29.7213 29.0502 0.311111 112 32.6667 112 91
23.5_28.5 AG-893-L13 AG-917-P14 AG-390-C19 AG-913-K15 AG-414-E02 AG-920-L07 AG-913-N02 AG-464-G03 AG-426-I04 AG-916-I19 29.3185 28.5741 0.238095 135 25 135 68
24.0_29.0 AG-898-J17 AG-899-I09 AG-920-I23 AG-918-E06 AG-414-E02 AG-430-K10 AG-894-I07 AG-464-G03 AG-915-C06 AG-899-C14 30.0004 30.6206 0.409524 81 43 81 91
24.0_29.0 AG-898-J17 AG-899-I09 AG-422-B23 AG-414-K15 AG-907-B09 AH-287-F15 AG-404-P01 AG-464-G03 AG-447-L18 AH-324-F15 30.3353 30.5552 0.288889 119 30.3333 119 91
