range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
000_3.0 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-916-J06 3.13695 2.97557 0.688889 1 64.3333 17 81
000_3.0 AG-915-E06 AG-905-A10 AG-903-D02 AG-894-C14 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 2.79085 2.61957 0.666667 0 70 0 210
000_3.0 AG-913-A04 AG-916-J06 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-359-C09 AG-414-O11 3.16452 3.00868 0.688889 1 64.3333 17 81
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 3.12462 3.0618 0.666667 0 70 0 120
000_3.0 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-893-N22 AG-918-K09 AG-917-I17 AG-359-E10 AG-920-O11 AG-903-K22 2.8922 2.7946 0.577778 28 60.6667 28 129
000_3.0 AG-913-A04 AG-916-J06 AG-911-B23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 3.12914 2.98407 0.688889 1 64.3333 17 81
000_3.0 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-916-J06 3.16319 3.02433 0.666667 0 70 0 98
000_3.0 AG-913-A04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 3.12462 2.90946 0.666667 0 70 0 98
000_3.0 AG-894-C14 AG-918-L21 AG-916-M06 AG-903-D02 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 2.5628 2.62485 0.666667 0 70 0 182
000_3.0 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-917-P07 AG-917-C11 AG-894-M23 AG-913-C03 AG-917-C08 AG-916-J06 3.13695 2.93734 0.601587 28 55.6667 43 86
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 3.16424 3.00583 0.706349 2 59.6667 31 83
000_3.0 AG-894-C14 AG-918-L21 AG-905-A10 AG-916-M06 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-903-K22 2.46063 2.55864 0.666667 0 70 0 182
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 3.13643 3.07227 0.666667 0 70 0 110
